experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expB_H1,Concept,EDDM,122.22222222222223,432.22305280925968,133.35674269707883,-296.92524716662649,11.684184838203782,4147,5000,1211.4857999999999,135.30340000000001,-1076.1823999999999,26.203894406795044,5000,0.82940000000000003,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,137.77777777777777,444.01236663433559,133.18407362945177,-308.82129000969934,11.974388472869075,4124,5000,1242.2213999999999,135.13079999999999,-1107.0906,26.454378629407675,5000,0.82479999999999998,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,153.33333333333331,461.52264381884947,133.10944377751102,-325.43560235063666,12.31052326242062,4084,5000,1292.0640000000001,135.05619999999999,-1157.0078000000001,26.850174757061243,5000,0.81699999999999995,0.99960000000000004,0,4578
expB_H1,Concept,EDDM,168.88888888888889,479.79448003942827,133.4878975795159,-343.97634302612124,12.70436413488032,4058,5000,1331.4012,134.46119999999999,-1196.9400000000001,27.102111098680133,5000,0.81159999999999999,0.99980000000000002,0,4578
expB_H1,Concept,EDDM,184.44444444444446,501.98009455088328,133.36427285457091,-365.99328191092309,13.271094292304998,4019,5000,1384.4916000000001,134.33760000000001,-1250.154,27.490365586816399,5000,0.80379999999999996,0.99980000000000002,0,4578
expB_H1,Concept,EDDM,200,518.5907151819323,133.23424684936987,-382.62258469259723,13.614969836180961,3985,5000,1428.3168000000001,134.20760000000001,-1294.1092000000001,27.776262010596895,5000,0.79700000000000004,0.99980000000000002,0,4578
expD,Data,CUSUM,1,45.082000000000001,44.395000000000003,-0.68700000000000006,0.067495085647672051,1000,12000,45.082000000000001,44.395000000000003,-0.68700000000000006,0.067495085647672051,1000,1,1,0,0
expD,Data,CUSUM,6.4444444444444446,347.26257545271631,344.38028169014086,-2.8822937625754528,0.41053521017060141,994,12000,417.17899999999997,414.31400000000002,-2.8650000000000002,0.40813153069365565,1000,0.99399999999999999,0.99399999999999999,0,0
expD,Data,CUSUM,11.888888888888889,738.68533604887989,733.97556008146637,-4.7097759674134423,0.63712218043829849,982,12000,941.38900000000001,936.76400000000001,-4.625,0.6259618224805753,1000,0.98199999999999998,0.98199999999999998,0,0
expD,Data,CUSUM,17.333333333333336,1059.763673890609,1053.5273477812177,-6.2363261093911246,0.88864622300245655,969,12000,1398.9110000000001,1392.8679999999999,-6.0430000000000001,0.86176318486390835,1000,0.96899999999999997,0.96899999999999997,0,0
expD,Data,CUSUM,22.777777777777779,1443.7845993756503,1436.6888657648283,-7.0957336108220606,1.1797292817181468,961,12000,1855.4770000000001,1848.6579999999999,-6.819,1.1345295925608976,1000,0.96099999999999997,0.96099999999999997,0,0
expD,Data,CUSUM,28.222222222222221,1769.5089567966281,1761.2507903055848,-8.2581664910432035,1.573381084362393,949,12000,2291.2640000000001,2283.4270000000001,-7.8369999999999997,1.4942044967400137,1000,0.94899999999999995,0.94899999999999995,0,0
