Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,FPR_CUSUM,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,FPR_PHT,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,FPR_ADWIN,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN
33.666666666666671,33.666666666666899,True,33.666666666666899,as_submitted,2,1000,local,0.23.0,0.036999999999999998,0.94199999999999995,2118.975583864119,59.755786594557755,0,reset,0.070999999999999994,0.70199999999999996,1457.8504273504273,52.181525994650443,0,warmstart,0.088999999999999996,0.93200000000000005,722.62553648068672,15.164980308624044,0,warmstart
39.111111111111114,39.111111111111377,True,39.111111111111377,as_submitted,2,1000,local,0.23.0,0.035999999999999997,0.92400000000000004,2349.0790043290044,63.835861819299332,0,reset,0.069000000000000006,0.65900000000000003,1589.4552352048559,52.788299515851463,0,warmstart,0.095000000000000001,0.90900000000000003,756.85478547854791,15.228709152902407,0,warmstart
44.555555555555557,44.555555555555131,True,44.555555555555131,as_submitted,2,1000,local,0.23.0,0.035999999999999997,0.91000000000000003,2570.7296703296702,67.450120876854328,0,reset,0.065000000000000002,0.628,1759.7038216560509,56.316660252845551,0,warmstart,0.094,0.88500000000000001,790.50960451977403,16.469964369946187,0,warmstart
50,49.999999999999396,True,49.999999999999396,as_submitted,2,1000,local,0.23.0,0.036999999999999998,0.89500000000000002,2741.3150837988828,67.661250479959392,0,reset,0.058999999999999997,0.60899999999999999,2001.8440065681446,64.739368520051798,0,warmstart,0.095000000000000001,0.86599999999999999,818.75866050808315,16.612598737555224,0,warmstart
60,59.999999999999659,True,59.999999999999659,as_submitted,2,1000,local,0.23.0,0.034000000000000002,0.875,3098.2022857142856,73.729748820630149,0,reset,0.058000000000000003,0.55000000000000004,2255.0163636363636,72.910356843526273,0,warmstart,0.099000000000000005,0.84199999999999997,908.85154394299286,27.029059714735457,0,warmstart
75.555555555555557,75.555555555556765,True,75.555555555556765,as_submitted,2,1000,local,0.23.0,0.029999999999999999,0.84899999999999998,3565.2826855123676,79.870969584958132,0,reset,0.052999999999999999,0.501,2753.2614770459081,88.432097941059922,0,warmstart,0.104,0.79500000000000004,978.42389937106918,33.575207752204207,0,warmstart
91.111111111111114,91.111111111108841,True,91.111111111108841,as_submitted,2,1000,local,0.23.0,0.029999999999999999,0.82499999999999996,3986.7903030303032,87.444197466057759,0,reset,0.048000000000000001,0.46700000000000003,NaN,NaN,0,warmstart,0.105,0.76400000000000001,1034.1007853403141,36.879689837416727,0,warmstart
106.66666666666666,106.6666666666668,True,106.6666666666668,as_submitted,2,1000,local,0.23.0,0.029999999999999999,0.78900000000000003,4193.6983523447398,86.573019026726996,0,reset,0.044999999999999998,0.433,NaN,NaN,0,warmstart,0.108,0.73699999999999999,1084.0176390773406,41.378814338709759,0,warmstart
122.22222222222223,122.22222222222229,True,122.22222222222229,as_submitted,2,1000,local,0.23.0,0.029000000000000001,0.76600000000000001,4453.0078328981726,88.404042136376816,0,reset,0.043999999999999997,0.40400000000000003,NaN,NaN,0,warmstart,0.107,0.72399999999999998,1135.0400552486187,42.193784054471564,0,warmstart
137.77777777777777,137.77777777777555,True,137.77777777777555,as_submitted,2,1000,local,0.23.0,0.027,0.74399999999999999,4664.5672043010754,88.263529717869403,0,reset,0.040000000000000001,0.38,NaN,NaN,0,warmstart,0.109,0.70299999999999996,1165.3328591749644,45.763562858539039,0,warmstart
153.33333333333331,153.3333333333353,True,153.3333333333353,as_submitted,2,1000,local,0.23.0,0.025999999999999999,0.73199999999999998,4938.7377049180332,91.719230546308523,0,reset,0.037999999999999999,0.35299999999999998,NaN,NaN,0,warmstart,0.108,0.69299999999999995,1211.0793650793651,48.2498812590418,0,warmstart
168.88888888888889,168.88888888888508,True,168.88888888888508,as_submitted,2,1000,local,0.23.0,0.025000000000000001,0.71599999999999997,5150.5223463687153,93.417711352623186,0,reset,0.035999999999999997,0.33300000000000002,NaN,NaN,0,warmstart,0.109,0.68000000000000005,1220.4176470588236,47.652052965125918,0,warmstart
184.44444444444446,184.44444444444062,True,184.44444444444062,as_submitted,2,1000,local,0.23.0,0.023,0.69799999999999995,5315.250716332378,94.139732223016026,0,reset,0.036999999999999998,0.316,NaN,NaN,0,warmstart,0.109,0.66800000000000004,1236.5673652694611,48.124472388786764,0,warmstart
200,199.99999999999488,True,199.99999999999488,as_submitted,2,1000,local,0.23.0,0.023,0.68600000000000005,5517.8527696792999,96.719958631319372,0,reset,0.034000000000000002,0.29499999999999998,NaN,NaN,0,warmstart,0.109,0.65700000000000003,1242.2572298325722,46.903167263543338,0,warmstart
