regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. A,VNQ,30,0.12,0.81999999999999995,8.0091743119265928,2.9886265886718287e-266,0.64927140508755687,0.51137500000000002,0.23.0
Cal. B,BWX,1,0.055,0.93999999999999995,110.49230769230671,0,0.5932406850543811,0.50662499999999999,0.23.0
Cal. B,BWX,2,0.055,0.93999999999999995,110.49230769230671,0,0.83095585554358076,0.503,0.23.0
Cal. B,BWX,3,0.055,0.93999999999999995,110.49230769230671,1.1480450315074226e-275,0.88195539762232344,0.49762499999999998,0.23.0
Cal. B,BWX,4,0.055,0.93999999999999995,110.49230769230671,0,0.96490719523976609,0.498,0.23.0
Cal. B,BWX,5,0.055,0.93999999999999995,110.49230769230671,0,0.46043010104210924,0.49825000000000003,0.23.0
Cal. B,BWX,6,0.055,0.93999999999999995,110.49230769230671,0,0.36509966085230144,0.49875000000000003,0.23.0
Cal. B,BWX,7,0.055,0.93999999999999995,110.49230769230671,0,0.18756614660674345,0.499,0.23.0
Cal. B,BWX,8,0.055,0.93999999999999995,110.49230769230671,0,0.11545118133699922,0.49562499999999998,0.23.0
Cal. B,BWX,9,0.055,0.93999999999999995,110.49230769230671,0,0.32002864827559951,0.50224999999999997,0.23.0
Cal. B,BWX,10,0.055,0.93999999999999995,110.49230769230671,0,0.5898468025550252,0.50112500000000004,0.23.0
Cal. B,BWX,11,0.055,0.93999999999999995,110.49230769230671,0,0.0214090092705887,0.50800000000000001,0.23.0
Cal. B,BWX,12,0.055,0.93999999999999995,110.49230769230671,0,0.72608189637682052,0.49375000000000002,0.23.0
Cal. B,BWX,13,0.055,0.93999999999999995,110.49230769230671,0,0.37330310998708749,0.503,0.23.0
Cal. B,BWX,14,0.055,0.93999999999999995,110.49230769230671,6.7545653967058461e-226,0.68271196359152564,0.50362499999999999,0.23.0
Cal. B,BWX,15,0.055,0.93999999999999995,110.49230769230671,0,0.85006754162789933,0.49662499999999998,0.23.0
Cal. B,BWX,16,0.055,0.93999999999999995,110.49230769230671,0,0.97703110296922446,0.48925000000000002,0.23.0
Cal. B,BWX,17,0.055,0.93999999999999995,110.49230769230671,0,0.99816120103836059,0.49249999999999999,0.23.0
Cal. B,BWX,18,0.055,0.93999999999999995,110.49230769230671,0,0.80619398487903215,0.49837500000000001,0.23.0
Cal. B,BWX,19,0.055,0.93999999999999995,110.49230769230671,0,0.18493107790946456,0.50387499999999996,0.23.0
Cal. B,BWX,20,0.055,0.93999999999999995,110.49230769230671,0,0.25904369182462234,0.49662499999999998,0.23.0
Cal. B,BWX,21,0.055,0.93999999999999995,110.49230769230671,0,0.88149100944654801,0.486875,0.23.0
