ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label,source_scale,dating_algorithm
VNQ,37,bear,2020-02-21,2020-03-23,21,-6.6193968674272536,0.99196863957260029,0.86956521739130432,-6.6729900556929778,0.52772237734343841,0.2857142857142857,-0.24200809162915271,0.050000000000000003,33.907250855438896,False,both,COVID_2020,MACRO,lunde_timmermann
VNQ,38,bull,2020-03-23,2021-12-31,449,0.42600542692085513,0.24370237231058964,0.34782608695652173,1.748056134545654,0.52772237734343841,0.57238307349665929,0.04466069615322088,0.050000000000000003,494.10902332683088,False,neither,,MACRO,lunde_timmermann
VNQ,39,bear,2021-12-31,2022-06-16,115,-0.61687316006729487,0.24546619179906015,0.36956521739130432,-2.5130677082091628,0.52772237734343841,0.40000000000000002,-0.12772237734343839,0.050000000000000003,239.07004054706323,False,location,,MACRO,lunde_timmermann
VNQ,40,bull,2022-06-16,2022-08-15,40,1.0490535462212542,0.16837480483926193,0.10869565217391304,6.2304662934738211,0.52772237734343841,0.57499999999999996,0.047277622656561546,0.050000000000000003,38.894879731072933,True,location,,MACRO,lunde_timmermann
VNQ,41,bear,2022-08-15,2022-10-14,43,-1.6596111279704817,0.25317080534172631,0.39130434782608697,-6.5553021634163642,0.52772237734343841,0.34883720930232559,-0.17888516804111282,0.050000000000000003,35.135659076368263,True,location,,MACRO,lunde_timmermann
VNQ,42,bull,2022-10-14,2023-02-02,75,0.74427795783793305,0.26160928214629586,0.41304347826086957,2.8449982803810516,0.52772237734343841,0.54666666666666663,0.018944289323228225,0.050000000000000003,186.53894583789454,False,location,,MACRO,lunde_timmermann
VNQ,43,bear,2023-02-02,2023-10-25,183,-0.3385289146202925,0.18396044197001257,0.21739130434782608,-1.8402266867540804,0.52772237734343841,0.42622950819672129,-0.10149286914671712,0.050000000000000003,445.85217091346198,False,neither,,MACRO,lunde_timmermann
VNQ,44,bull,2023-10-25,2024-11-27,275,0.33830806588770829,0.17220794644644269,0.15217391304347827,1.9645322580565314,0.52772237734343841,0.57090909090909092,0.043186713565652513,0.050000000000000003,391.21473659712046,False,neither,,MACRO,lunde_timmermann
VNQ,45,bear,2024-11-27,2025-04-08,88,-0.54933744997871425,0.20434751044828708,0.2608695652173913,-2.6882512479530871,0.52772237734343841,0.45454545454545453,-0.073176922797983879,0.050000000000000003,208.92664122135173,False,location,,MACRO,lunde_timmermann
BWX,0,bear,2008-03-14,2008-10-10,146,-0.45140068204737926,0.19868105667702546,1,-2.2719865174724387,0.49584363064479892,0.46575342465753422,-0.030090205987264695,0.050000000000000003,292.49741679881521,False,both,GFC_2008,MACRO,lunde_timmermann
BWX,1,bull,2008-10-10,2014-06-30,1438,0.072843483045610169,0.098104181917273242,0.66666666666666663,0.74251149769574287,0.49584363064479892,0.51808066759388038,0.022237036949081468,0.050000000000000003,2738.5909493919394,False,neither,,MACRO,lunde_timmermann
BWX,2,bear,2014-06-30,2015-11-09,344,-0.12262484275932176,0.076484029109649451,0.33333333333333331,-1.6032738362086503,0.49584363064479892,0.44476744186046513,-0.051076188784333787,0.050000000000000003,587.37860548259391,False,neither,,MACRO,lunde_timmermann
BWX,3,bull,2015-11-09,2021-01-05,1296,0.047923396995805535,0.075803316957687342,0.16666666666666666,0.63220712389875888,0.49584363064479892,0.51388888888888884,0.018045258244089923,0.050000000000000003,3777.5895125726306,False,neither,,MACRO,lunde_timmermann
BWX,4,bear,2021-01-05,2022-10-20,452,-0.23333957387815163,0.090704382148833945,0.5,-2.5725281221283458,0.49584363064479892,0.42256637168141592,-0.073277258963382996,0.050000000000000003,228.14621732115938,True,location,,MACRO,lunde_timmermann
BWX,5,bull,2022-10-20,2025-07-01,674,0.071805848401251107,0.10170646019101703,0.83333333333333337,0.70601069259898575,0.49584363064479892,0.48516320474777447,-0.010680425897024448,0.050000000000000003,3029.0816325517426,False,scale,,MACRO,lunde_timmermann
