xi,stream_index,skewness,q,q_hat_warmup,lb_sign_p,lb_ebin_p,fpr_half,fpr_oracle,fpr_qhat,m_units_half,sign_identity,min_h,degenerate_sign,degenerate_ebin,fs_m,fs_s,fs_q_oracle
0.84999999999999998,13,-0.5037310018639255,0.53149999999999997,0.54000000000000004,0.63395305821104186,0.32601856056541439,0,0,0,73,True,0.0079266891301328669,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,13,-1.2003103186199959,0.56762500000000005,0.59599999999999997,0.58099617497109146,0.69578194371527058,1,0,0,138,True,0.0088732245618882086,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,13,-1.5249449619640916,0.59150000000000003,0.60899999999999999,0.32965064144874967,0.41426998184542413,1,0,0,258,True,0.008989658518351264,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,14,0.043612918832659157,0.50387499999999996,0.50900000000000001,0.63164035859928891,0.060575862762591567,0,0,0,46,True,0.0079183485167011857,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,14,-0.36276967417428035,0.52662500000000001,0.52000000000000002,0.21569152415901302,0.35381094413252095,0,0,0,51,True,0.0080992676032124525,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,14,-0.90726774775123042,0.55725000000000002,0.55600000000000005,0.34149986926434667,0.61440631389413225,0,0,0,70,True,0.008223126820719703,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,14,-1.2184408627396996,0.576125,0.58599999999999997,0.60568993877770416,0.5291518100435203,1,0,0,111,True,0.0080717057382814206,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,15,-0.0074936267987135508,0.49512499999999998,0.52400000000000002,0.88435182946427804,0.9297437912773544,0,0,0,40,True,0.0084540734855550904,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,15,-0.48730359491052533,0.52500000000000002,0.55800000000000005,0.43534167623992004,0.39769144760557501,0,0,0,59,True,0.0085102788924868219,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,15,-1.0272594894172471,0.55787500000000001,0.58199999999999996,0.85971850217489987,0.83781315112291521,1,0,0,96,True,0.0085089276431895254,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,15,-1.3202108101136329,0.57550000000000001,0.59199999999999997,0.33004053950674478,0.17125733268554044,1,0,0,107,True,0.0088198624543997552,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,16,0.015718313271337665,0.49937500000000001,0.48599999999999999,0.75373706577319632,0.30722412857756687,0,0,0,58,True,0.0088453446017176477,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,16,-0.4017985998699567,0.53112499999999996,0.51800000000000002,0.0977047036285114,0.12546034013124172,0,0,0,47,True,0.0086079585182658354,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,16,-0.9246677381269961,0.56074999999999997,0.57599999999999996,0.18334536906879656,0.24595721060691655,1,0,0,76,True,0.0084828345250976909,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
