gamma,seed,stream,p_data,p_concept
8.1600000000000001,2841571868,40,1.3391789973397181e-181,0.8865435012308045
8.1600000000000001,2628265114,41,9.9960065438431412e-87,0.20402691254086869
8.1600000000000001,1883426330,42,0,0.52274787350801077
8.1600000000000001,1151879293,43,1.8727334588512606e-206,0.43250663901738506
8.1600000000000001,2972558666,44,0,0.93241138926551415
8.1600000000000001,548756515,45,1.0602711220532323e-264,0.43897445916054906
8.1600000000000001,3076190256,46,1.2870656981159752e-181,0.76884504361790085
8.1600000000000001,2167726897,47,4.8445817647658849e-261,0.96589439731998294
8.1600000000000001,2707597644,48,1.3980900378331229e-181,0.89985474415357602
8.1600000000000001,915785049,49,1.1429399674380219e-304,0.20159871585109662
8.1600000000000001,3724885952,50,2.0221237102864254e-190,0.068808554110096648
8.1600000000000001,3448798689,51,3.3065513707013393e-225,0.98384054465939508
8.1600000000000001,2102869662,52,1.8773256248685918e-112,0.072239026517545157
8.1600000000000001,3467967067,53,1.8698030756828922e-105,0.39708511264882618
8.1600000000000001,3568849514,54,5.0464315053443042e-190,0.8643919317721922
8.1600000000000001,36210407,55,0,0.34222190623763526
8.1600000000000001,1766109846,56,2.422011969058218e-118,0.39130767423327556
8.1600000000000001,1007049028,57,0,0.97617133087165353
8.1600000000000001,3484455111,58,0,0.27504786864854497
8.1600000000000001,4085553645,59,9.6546117765954964e-257,0.47042934159619809
8.1600000000000001,1071094488,60,3.828903108379266e-211,0.7662893585642554
8.1600000000000001,3007317238,61,0,0.25578379439337312
8.1600000000000001,3080738993,62,5.9671562371945606e-185,0.041031557532795651
8.1600000000000001,2152412545,63,3.3254492197618718e-242,0.44823837996611271
8.1600000000000001,4191690565,64,5.1751411593700663e-260,0.3740092206171185
8.1600000000000001,2153043893,65,1.2468668477990579e-265,0.26415286497550494
8.1600000000000001,4179297589,66,0,0.87777380309132758
8.1600000000000001,2471051932,67,0,0.13330017777830966
8.1600000000000001,822589568,68,1.9345724576321437e-248,0.98442999203286885
8.1600000000000001,2279104131,69,0,0.86375716306530914
8.1600000000000001,1493541467,70,0,0.1799386299314501
8.1600000000000001,70205488,71,0,0.58857595525586537
8.1600000000000001,2022984254,72,0,0.3081058809077743
8.1600000000000001,463948906,73,0,0.48042168178051115
8.1600000000000001,1959018474,74,4.0940432083046687e-288,0.46678174605903711
8.1600000000000001,2241960745,75,4.1058628763479988e-115,0.29670818700440516
8.1600000000000001,523440001,76,0,0.051015294378143484
8.1600000000000001,4151531638,77,5.6041281715992882e-195,0.97180431135108813
8.1600000000000001,2271302426,78,2.5143509393416485e-178,0.37906134894470245
8.1600000000000001,613806300,79,1.4686016725177943e-214,0.59861812630841194
8.1600000000000001,3633748638,80,0,0.74456695369585435
8.1600000000000001,996110568,81,0,0.52060622417003977
8.1600000000000001,437189771,82,5.4800587332928379e-131,0.7026126115118545
8.1600000000000001,434799377,83,0,0.40044890819194873
