gamma,seed,p_data,p_concept
2,64,6.0703964787777155e-53,0.83820021723399107
2,65,5.4808568214700928e-41,0.93963460744842919
2,66,4.2029133367527487e-31,0.54740847169626994
2,67,2.0600255135367584e-33,0.42775057550986378
2,68,1.3386483785723656e-48,0.33850473661277203
2,69,1.7968795119064178e-16,0.21483740954152294
2,70,1.9396990168052148e-39,0.90474420834621894
2,71,2.2039545719885166e-15,0.29613635602154575
2,72,8.0545040287975908e-26,0.89381426278210507
2,73,1.6436371031705209e-15,0.56869957634972856
2,74,5.7165093060890406e-30,0.28348331306765479
2,75,1.5002932392194931e-36,0.27111665287114739
2,76,4.5041305242478334e-22,0.30097402241029853
2,77,4.7846542517130054e-27,0.4888124554580946
2,78,4.0263513402654893e-33,0.70302584395330703
2,79,2.1636055842350231e-33,0.50572653608743667
2,80,5.301193699369335e-53,0.89297928218037004
2,81,4.88396449546127e-39,0.11783254242039058
2,82,0,0.25881446836664812
2,83,4.5878911485123439e-48,0.8025322331301612
2,84,2.2760820727868427e-33,0.70309661799850154
2,85,2.5830961045726959e-95,0.60473902143587432
2,86,5.5414976375056225e-45,0.89913318349102012
2,87,2.943740450808689e-75,0.17110803821811593
2,88,6.4567701935306287e-42,0.21569720747357557
2,89,3.375036278944738e-92,0.046806555304184601
2,90,6.0354642585542519e-20,0.22555240175371935
2,91,5.4887027654377568e-40,0.56030925809781651
2,92,1.8836861450210334e-31,0.82633366533624208
2,93,9.9582223261301295e-44,0.7944228730916113
2,94,3.2500327674013544e-33,0.44725606717620431
2,95,1.1617239134062114e-19,0.34939417958806801
2,96,5.0081623346671263e-55,0.89136396754729952
2,97,1.650455118108208e-37,0.68389779662496886
2,98,2.4177750144820936e-52,0.63590685401673641
2,99,1.0054514460276737e-13,0.34335955552609193
2,100,6.8930743990097056e-16,0.34511656274647995
5,1,1.0012963943328373e-89,0.097151823374448151
5,2,2.9714642765787564e-73,0.10675844903643514
5,3,5.2593763687374234e-209,0.28453867911208414
5,4,1.4657964820393225e-105,0.9655484979482627
5,5,1.2771096684598315e-93,0.29881169920076561
5,6,1.0661756791167821e-196,0.83161001488940478
5,7,5.178786637543973e-82,0.87375176146579547
5,8,3.1838192766267721e-110,0.41348462412111164
5,9,1.2731375210238892e-67,0.11258567548154789
5,10,1.7209297980470478e-92,0.13563443044178686
5,11,1.4729533442328907e-157,0.91014195825788147
5,12,1.077999959316612e-132,0.89643433422561025
5,13,7.7625918095585315e-149,0.9624239259618631
5,14,2.6424926327218443e-283,0.84067753926972211
